Hora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
07:00,Open Box,Open Box,Open Box,Open Box,Open Box,Cerrado,Cerrado
08:00,CrossFit,CrossFit,CrossFit,CrossFit,CrossFit,CrossFit,Cerrado
09:00,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit,Cerrado
10:00,Open Box,Open Box,Open Box,Open Box,Open Box,CrossFit,Cerrado
11:00,Open Box,Open Box,Open Box,Open Box,Open Box,CrossFit,Cerrado
12:00,Open Box,Open Box,Open Box,Open Box,Open Box,CrossFit,Cerrado
13:00,Open Box,Open Box,Open Box,Open Box,Open Box,Cerrado,Cerrado
13:30,Open Box,Open Box,Open Box,Open Box,Open Box,Cerrado,Cerrado
14:00,Open Box,Open Box,Open Box,Open Box,Open Box,Cerrado,Cerrado
14:30,Open Box,Open Box,Open Box,Open Box,Open Box,Cerrado,Cerrado
15:00,Open Box,Open Box,Open Box,Open Box,Open Box,Cerrado,Cerrado
15:30,Open Box,Open Box,Open Box,Open Box,Open Box,Cerrado,Cerrado
16:00,Open Box,Open Box,Open Box,Open Box,Open Box,Cerrado,Cerrado
17:00,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,Cerrado,Cerrado
17:30,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,Cerrado,Cerrado
18:00,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,Cerrado,Cerrado
19:00,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,Cerrado,Cerrado
19:30,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,Cerrado,Cerrado
20:00,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,Cerrado,Cerrado
20:30,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,CrossFit;Open Box,Cerrado,Cerrado